;username;tweet;orang 1;orang 2;orang 3;hasil;;;;;;;;
1583106667960750000;MahendraXY;sebelumnya presiden jokowi tiba di helipad lapangan upacara kantor bupati bangka barat setelah terbang menggunakan helikopter super puma tni au dari bandara depati amir kabupaten bangka tengah;0;0;0;0;;;;;;;;
1582909919279270000;lllank22;i2 mksud dri panglima sgat fair dan baikmberikn ruang/peluang yg sama kpda generasi muda bangsa utk jdi anggota tni mari menilai/melihat sesuatu dri sudut pandang positif yg lbih luas;1;1;1;1;;;;;;;;
1581809059447310000;mayuriyuna;apakah egi merasa ada yang melindungi ya?;-1;0;0;0;;;;;;;;
1581304016088100000;nuul_00;bagi kak;0;0;0;0;;;;;;;;
1583391178342680000;FabanyoIyal;warning  jgn sampai terprofokasi dgn org2biadab/ musuh plg utama di negri ini💪 lawan tuk aparat yg br wenang trutama tni polri jgn sungkan2 bertindak demi kedamaian di negara ini;-1;1;1;1;;;;;;;;
1580534892990910000;rizkriswanda;itu kan cara tentara jan jangan u tentara;-1;0;-1;-1;;;;;;;;
1581046964602690000;Pedro81422229;janji janji tinggal janji hahahahhahhaha drama korengan pun berakhir episodenyaaaa bsk muncul video dede ihhhh kaka hahahahhaha kemudian di smackdown lg hahahhahha;-1;-1;-1;-1;;;;;;;;
1581301010190180000;tokopedinda;yg tentara kk;0;0;0;0;;;;;;;;
1581853998646060000;JazirahOnim;tni senantiasa harus menjadi garda terdepan dalam membantu kesulitan rakyat;-1;1;1;1;;;;;;;;
1580433297444080000;kodimgrobogan;pengecoran jalan sepanjang 400 meter mulai dikerjakan oleh tni anggota koramil 04/godong bersama warga dalam program karya bakti mandiri tni tahap x ta 2022 di dusun waruk desa dorolegi kec godong kab grobogan;1;1;1;1;;;;;;;;
1580363845968700000;ronald05001773;bantu rusia lawan ukraina belarusia kerahkan 15 ribu tentara ke perbatasan;1;1;0;1;;;;;;;;
1580916794683840000;bebasdotid;pak frega berpendapat bahwa prioritas revisi uu tni tersebut dapat dilihat dari isu-isu yang beririsan langsung dengan keamanan maupun kepentingan nasional sementara kak nicky juga menyebutkan sekuritisasi yang berdasar pada perumusan kepentingan nasional;0;0;1;0;;;;;;;;
1579803865993840000;bisonbadass1;emang gila aparat gamau kalah hampir ditabrak anggota tni di perempatan mmt its jl pandegiling ngebaretin mobil dan ngedobrak kaca pas ribut mau minta tolong sesama tni malah kabur;-1;-1;-1;-1;;;;;;;;
1580835166003790000;PineksoRoyi1;taruh di bawah kementrian lakukan demiliterisasi total dari mulai fase pendidikan menghilangkan mindset kombatan hingga arsenal persenjataan dan kendaraan yang digunakan unit paramiliter seperti brimob dikasi pilihan mau tetap jd polisi atau tentara kalo tentara lebur ke tni;-1;-1;-1;-1;;;;;;;;
1583000680364530000;_TNIAL_;salam budaya;0;0;0;0;;;;;;;;
1580621257049280000;Bambang91725945;purnawirawan tni/polri - sbg pensiunan kembali spt rakyat sipil nggak masalah ikutan parpol tertentu  bila ybs mau;1;1;0;1;;;;;;;;
1580713251251550000;khusnulkholik;y alloh kok bisa bravo tni;1;1;0;1;;;;;;;;
1580068808362180000;koramilkarangm2;serma sri rejeki murdiyono bati bakti tni koramil 12/gesi beserta 1 orang anggota koramil 12/gesi melaksanakan pengecekan harga beberapa jenis kebutuhan bahan pokok secara nyata di wilayah koramil 12/gesi;1;1;1;1;;;;;;;;
1582656969273270000;jagabalicom;gotong royong polres malang bersama tni dan warga bersihkan lokasi banjir bandang di sumbermanjingwetan;1;1;1;1;;;;;;;;
1580139711753910000;arayasekarang;kupikir td tentara eh sekalinya tentara palsu😂😂;-1;-1;-1;-1;;;;;;;;
1580857964742600000;MattDav88955383;hebat yaa polisi bisa sita kta tni;-1;-1;1;-1;;;;;;;;
1581237180382350000;RifaiRi18897753;sinergitas tni 👍👍👍;1;1;1;1;;;;;;;;
1580959102959620000;Topik38878641;memangnya tni itu bersih ? yg jual senpi kpd separatis di papua itu bagaimana ?;-1;-1;-1;-1;;;;;;;;
1582747163058370000;IlhamToger;skip dlu mau fokus tni;-1;-1;0;-1;;;;;;;;
1581093101006770000;FaisalA55496673;bubarkan sjtni bisa ambil alih tugasnya;-1;-1;-1;-1;;;;;;;;
1583120131646840000;agustinsavitri_;legend sih pagi2 disuruh renang di kolamnya pak tentara juga kita😭;0;0;0;0;;;;;;;;
1582675872460330000;TentaraRakyat;rezim tukang ngibul import naik bbm pln pengangguran tmbah bnyk;-1;-1;-1;-1;;;;;;;;
1581871239110720000;dim0707wonosobo;satgas tni manunggal membangun desa tmmd sengkuyung tahap iii tahun 2022 kodim 0707/wonosobo secara bergotong royong bersama warga masyarakat desa maron membuat senderan sebagai tanggul menahan tanah agar tidak mudah longsor 17/10/2022;1;1;1;1;;;;;;;;
1583147480266710000;kakapetu;setiap kali ditangkap sllu playing victim mengaku sipil pdhl fakta buktikan akibat ulah knpb dan opm kampung maybrat trs bersimbah darah mulai di sept 2021 knpb bantai 4 tni lalu ancam tembak mati warga yg tra mau ke hutan kmdian saat pemuda oap serda miskel hendak bantu;-1;-1;-1;-1;;;;;;;;
1582145101354090000;delliAmin;emang gubernur bisa jadikan indonesia suriahkan ada tni polri rakyat ri dan presiden sebagai pemimpin negara jakarta ibukota ri bukan ibokota fpi atau kadruntahu;-1;-1;-1;-1;;;;;;;;
1581833956991040000;THEMRGRGWILIAM;presiden menhan tni polri perwakilan duts besardpr dprd pengungkap penjarah hutan terkaya juga penduduk ma mk juga indon ikn nusantara jg indon selama ini jg menghamba2 kan juga kepada sony mustofa menganggap juga sony mustofa membahas juga;-1;-1;-1;-1;;;;;;;;
1583311974280340000;Cakra_Kostrad;rumah cakra jawara satgas yonif r 303 kostrad hadirkan keceriaan anak-anak papua melalui senam maumere;1;1;1;1;;;;;;;;
1581105148965040000;SahabatTNIPolri;waalaikum salam abah;0;0;0;0;;;;;;;;
1580952300763610000;Paymo61;terima kasih bapak-bapak tni al yang budiman;1;1;1;1;;;;;;;;
1583086709708710000;opiekumisbrewok;semangat pasti juara tni ku;1;1;1;1;;;;;;;;
1581165738890790000;Opi58_Id;kok tdk di pakai lgkatanya gas air mata tdk berbahayatdk menyebabkan kematianlupa ya dgn bacot sendiri hadeeeee polisi polisi kenapa tdk kembali di bwh tni lg aja;-1;-1;-1;-1;;;;;;;;
1581526486040780000;yvlfann;kemudian ia juga tersangkut dalam kasus kerusuhan di lapangan tiananmen yang menewaskan 218 warga sipil23 tentara  serta 7000 orang terluka pada awal 1989  demonstrasi tersebut sebagai bentuk gerakan pro demokrasi;-1;-1;-1;-1;;;;;;;;
1580561363822580000;kangspillllll;kalau pak tni nya sakit dan ketiduran gimana ?;-1;0;0;0;;;;;;;;
1581827724121120000;IsmailBhakti;ya namanya kalo ngeliput kayak gini jangan live lah tentu pemberitaan seperti itu dikordinasikan dgn puspen tni maupun humas polri;-1;0;-1;-1;;;;;;;;
1581995883184330000;gedongtengen;cegah kejahatan jalanan rayon satu laksanakan kegiatan rutin yang ditingkatkan kryd di jl tentara pelajar jetis kota yogyakarta;1;1;1;1;;;;;;;;
1580498915115550000;tribunnews;saksi tragedi kanjuruhan mengaku dipukul oknum tni ketika sedang bantu evakuasi penonton pingsan;-1;0;-1;-1;;;;;;;;
1580506753120100000;FaishalIshal5;sementara lainnya selain exco ada club juga pt lib dan keamanan yang merupakan intitusi polri dan tni nah sekarang berkaca sama tragedi kanjuruhan kemaren yang jelas buat kesalahan fatal kan supporter panpel dan aparat keamanan sp yg harus tanggung jwb adlah ?;-1;-1;-1;-1;;;;;;;;
1581928472565650000;cariberitanews;membaca berita indonesia | meriahkan hut tni ke-77 di lanny jaya satgas yonif mekanis 203/ak adakan acara bakar batu →;0;1;1;1;;;;;;;;
1580901298487950000;sersanqomar;cebong somplak dah lama garuda diselepetin china bulunya sampe bondol ngarep tni polri tentara merah china bebas aja masuk bandara sapa berani lawan lbp;-1;-1;-1;-1;;;;;;;;
1582371436420730000;SomarwaneSefnat;siboneka imigran yaman oligarki si wowo plus mamarika bro;-1;-1;-1;-1;;;;;;;;
1579822325184090000;KopiHit07083009;jangan ragu untuk berbuat yang baik untuk bangsamu berikanlah yang terbaik dengan kemampuan dan kerja kerasmu jagalah kami dan negara tercintakarena tni sejatinya lahir dr rakyat oleh rakyat dan untuk rakyatbravo jenderal 💪💪💪💪💪;1;1;1;1;;;;;;;;
1582691312536810000;pendim0106;takengon- program pengendalian pertumbuhan penduduk terus dilaksanakan oleh pemerintah dalam program tersebut melibatkan semua komponen negara termasuk didalamnya unsur tni sebagai mitra strategis dalam pelaksanaan program kependudukan keluarga berencana rabu 19/10/2022;1;1;1;1;;;;;;;;
1583068913427890000;Jokotengger;drone kamikaze buatan iran merepotkan tentara ukraina dengan harga murahdapat menghancurkan target bernilai tinggi buah dr riset dan reverse engineering di indonesia riset drone dihentikan dan diganti dgn riset kencur;-1;1;-1;-1;;;;;;;;
1582787127409990000;Foamwatcher;iya terlampau indah dan sangat istimewa rakyatnya makmur bahan-bahan pokok murah terjangkau lapangan pekerjaan tumpah-tumpah tentara polisinya berkeadilan tinggi a1 se asia tenggara transportasinya bagus jalanannya bagus-bagus sumber daya alamnya dikuasai rakyatnya;1;1;1;1;;;;;;;;
1583441954993750000;boyke_bond_Jr;desain dan maket calon kapal induknya dipamerin jg donk pak biar publik makin kagum sama tni ;-1;-1;-1;-1;;;;;;;;
1582503702568460000;BattoAjax;brrrrr… ungkap dong min… berapa puluh ribu tentara rusia yg mampus di ukraina??? mimin pasti jagooo;-1;-1;-1;-1;;;;;;;;
1582229019516620000;nobitaaa27;personel gabungan polri dan tni berikan bantuan makanan dan minuman kepada warga yang terdampak bencana banjir polri sigap peduli bencana;1;1;1;1;;;;;;;;
1581138980158190000;siw_ur;loh udh ganti? bukannya sompral itu pangkat tni yaa kak?;0;-1;0;0;;;;;;;;
1582704503182460000;bukitbarisan_1;gebyar hut ke- 77 tni ta 2022 digelar kegiatan fun run dan tni expo dilapangan benteng medan;0;0;0;0;;;;;;;;
1582380619950040000;TentaraRakyat;video ini khusus untuk org yg hatinya bersih dan terbebas dari dendam politik serta jauh dari rezim oligarki supaya mengerti apa yg dikatakan pada video ini hebat bang visi maju kedepan;-1;-1;-1;-1;;;;;;;;
1582020342356550000;Raimanur7;kalau jadi seru juga perang australia indonesia kita nonton aja  biarlah parpol yang berjuang dengan tni;-1;-1;-1;-1;;;;;;;;
1580594984960790000;AhmadRidhoAkbar;tni ya;0;0;0;0;;;;;;;;
1581812827689730000;galerifitri;kstp selalu melakukan teror kpd masyarakat asli papua dan pendatang agar situasi keamanan di papua menjadi terganggu mereka berharap para pendatang dan oap tdk betah berada di papua namun tni polri selalu siap menjaga keamanan dan ketertiban di papua ;-1;-1;-1;-1;;;;;;;;
1581327915483950000;TomyHar90495995;mantap tni dan polri terutama;1;1;1;1;;;;;;;;
1583086175803570000;Sinar_Harapan;panglima tni jenderal tni andika perkasa mengatakan bahwa pihaknya menjalin kerja sama dengan badan siber dan sandi negara bssn untuk pengamanan bidang siber dalam konferensi tingkat tinggi ktt g20 pada 15-16 november di bali;1;1;1;1;;;;;;;;
1580828764308930000;zullifkar_ab;istri perwira tni al diduga terlibat kasus pencurian mobil lisa polisi diminta menahan pelaku;-1;-1;-1;-1;;;;;;;;
1581685733773170000;prkjjwoo;gabut banget mau pacaran sama tni;-1;-1;0;-1;;;;;;;;
1580146699934530000;Dorraemon_;teman dudung ini ya???? mari kita lihat tanggapan dudung soal ini bagaimana dan apakah dudung no comments melihat kasus ini atau bertindak ??? bener bener hancur wibawa tni klo kek gini apa urusannya mahluk ini sita kta tni ?? padahal yang punya hak adalah pm ;-1;-1;-1;-1;;;;;;;;
1583422504496160000;hery_alwi1142;polisi dan tni harus kirim pasukan khusus untuk membasmi orang orang seperti ini kita harus lalukan sernagan balasan orang kst ini harus segera di basmi;1;1;1;1;;;;;;;;
1579967145102180000;evand_7dragon;udah saya ss twet anda pertanggungjawabkan omongan anda ditubuh tni tak ada kodran kadru cebong kampret dll tni untuk nkri bukan untuk sebuah golongan atau organisasi politik tni adalah ikut negara dan uu bukan untuk sebuah parpol camkan itu;1;1;1;1;;;;;;;;
1581185819980670000;Cak_X01;kepala negara meminta jajaran polri menjaga kesolidan baik di internal polri maupun dengan tentara nasional indonesia tni hal tersebut penting utamanya karena saat ini sudah mulai masuk tahun politik dan tahapan pemilihan umum pemilu sudah mulai berjalan sejak juli;1;1;1;1;;;;;;;;
1581458130374120000;MusandaFarid;nanti jatuhnya pungli dong bapack direkam diviralkan dikasih headline oknum polisi dan tentara melakukan pungli untuk pengamanan konser tak berijin di surabaya  udah bener dibubarkan sih;-1;-1;-1;-1;;;;;;;;
1581472489867450000;AdeAshar;ku bantu tag masyarakat butuh keadilan semoga cepat selesai;0;0;0;0;;;;;;;;
1582228162263800000;DeniseF18725059;personel gabungan polri dam tni berikan bantuan makanan dan minuman kepada warga yang terdampak bencana banjir polri sigap peduli bencana;1;1;1;1;;;;;;;;
1580384393193230000;ucogpakeg;pasti ada hal yang lubis luar biasa sampai kapolda turun tgn biasanya polisi akan cuek kalo tni langgar dikit2 ya ga papa tp kalo besar pasti mereka akan bereaksi wajarlah;-1;-1;-1;-1;;;;;;;;
1583424581846520000;rijal_yahya2;salut dengan perjuangan mbaknya semoga kkb segera dimusnahkan dari tanah dan indonesia tni polri harus semakin tegas melawan kkb;1;1;1;1;;;;;;;;
1580977566588210000;tom_hutomo;ada inspektorat pengawasan umum polri dan inspektorat jenderal tni;1;1;0;1;;;;;;;;
1582656478586210000;LanudSut;danlanud kolonel nav saeful r bersama kadispotdirga lanud sut melepas ke lima atlit paralayangnya siap berlaga untuk mengikuti kejuaraan yang diadakan tni au di gelar di puncak bukit santiong subang padang rabu 19/10/2022;0;0;0;0;;;;;;;;
1580862953615520000;koramil_kota;rehab rumah tidak layak huni dalam rangka tni manunggal membangun desa sengkuyung tahap iii tahun 2022 kodim 0725/sragen dengan tema ''tmmd dedikasi terbaik membangun nkri'' di desa bagor kec miri kab sragen;1;1;1;1;;;;;;;;
1582009892688500000;canmytd;kita udah naik jabatan jadi jendral atasan tentara nder🤣;0;0;0;0;;;;;;;;
1580976730084410000;RadioElshinta;panglima tni tegas terhadap kelalaian prajurit gunakan senjata;1;1;1;1;;;;;;;;
1582664973880220000;BerkahLumintu;ssstt tidak semua org tahu dari jenderal tni sarwo edhie mas ketum ahy miliki darah jawa tengah;0;0;0;0;;;;;;;;
1583426935257910000;gabriel_dika1;semoga tni amp polri yg bertugas selalu diberikan kesehatan dan keselamatan agr tdk terjadi kejadian seperti ini lagi utk kedepannya;1;1;1;1;;;;;;;;
1580462293296750000;HumasResCiko;sinergitas tni - polri siap membantu masyarakat;1;1;1;1;;;;;;;;
1582233245420490000;sindhoe_pratama;semoga nanti bisa juga jadi seperti perkasa;0;0;1;0;;;;;;;;
1579807070995780000;UPriyatmadi;tni selalu tulus untuk membantu rakyat karena tni dari rakyat oleh rakyat dan untuk rakyat jalayah selalu tniku🇲🇨🇲🇨🇲🇨;1;1;1;1;;;;;;;;
1581842482525970000;AManoharfa;tolong ya saya minta kurirnya di perbaiki saya tinggal di asrama tni iya kali 1x24 jam ga ada orang yg jaga dan saya seharian full di rumah kalo emang mereka keberatan bisa hubungi penerima bukannya barang di putar dan di cancel seenak jidat;-1;-1;-1;-1;;;;;;;;
1580925591473180000;Sambo_Kaisar;selain di polri di kejaksaan jg banyak oknum oknum tapi banyak nih contohnya betul ya ? cc in pak;-1;-1;-1;-1;;;;;;;;
1580544166177960000;ChachaSuhatsyah;pak jokowi ysh ut menghasilkan aparatur negara penegak hukum yg lebih beritegritas saatnya dilakukan evaluasi/disempurnakan seluruh program rekruting tni/polri hakim jaksa sehingga dpt dipastikan adil transparan bersih dan independen;-1;-1;-1;-1;;;;;;;;
1582248259745030000;nrc_sh;jadi pacarnya temen gw tu tentara dia cerita ke aku kl pacarnya itu chatan sama org ghosipin polisi terus ngapain ngasih tau gw cok gw jg ga peduli makin eneg iya suka si sama pertemanannya tp gasuka sama cerita2 dia yg kegitu😭 maaf besti;-1;-1;-1;-1;;;;;;;;
1580386980567080000;FWaeah;cita2 ingin jadi tentara apalah daya ga kesampaian🤭;-1;0;0;0;;;;;;;;
1581962158337800000;__yoongiswife;eh gua kepikiran sih dari kemarin sebenernya gatau random aja kepikiran apa tentara di korea kaya di indo ya suka halo dek halo dek;0;0;-1;0;;;;;;;;
1581102172615630000;korem041_gamas;melangkah pasti menuju panda untuk berlaga setelah terpilih di sub panda komandan korem 041/gamas brigjen tni dr a budi handoyo;0;0;0;0;;;;;;;;
1581177863679620000;ini_aki_aki;semua seragam dan atribut mirip militer  cabut  pemakainya penjarakan   berani ?;-1;-1;-1;-1;;;;;;;;
1582873930758790000;Gakepikiranap;ada 2 kemungkinan 1 latihan drumband tni 2 iring²an prajurit ratu selatan;0;-1;0;0;;;;;;;;
1580167842103950000;yuzz_2079;tni bukan loreng doang;0;1;0;0;;;;;;;;
1583422681344460000;ahmad_zuffar114;tanah itu damai kkb yang mengacaukannya pak presiden pak tni dan pak polri tolong ini kkb diberantas pak kami rakyat kecil hanya bisa memberikan dukungan moril;-1;-1;-1;-1;;;;;;;;
1579862838470140000;Ayumi_chan901;udah paling adil ungu itu punya pasya 😭😭 biar si tentara kaga pada hebring mulu soal warna ungu🤧;-1;-1;0;-1;;;;;;;;
1581078970933870000;IqbalAs83902565;polisi kalo sudah di lantik jarang ada latihan fisiknya beda sama tni kalo tni pasti sering latihan fisik apalagi kalo di batalion;-1;0;-1;-1;;;;;;;;
1582295419236900000;beritaKBR;aceh 2004 bukan sekadar bencana perampasan dan pembunuhan justru hadir di tengah-tengah kesedihan ini darurat militer ;-1;0;-1;-1;;;;;;;;
1580358956962130000;Hndr_Y;ha ? polisi sita kta tni ? bukannya kl anggota tni terlibat masalah/tindak kriminal urusannya harus lewat pm dulu ?;-1;-1;-1;-1;;;;;;;;
1581837059853250000;bolahitaID;psms medan ikuti fun run 10k gebyar hut ke-77 tni;0;1;0;0;;;;;;;;
1580432954362590000;Kenit80054238;begitulah kalo negri belum bisa banyak ciptakan lapangan kerja jadi tentara-tentaraan ginipun sdh dianggap profesi pekerjaan yg penting kliatan gak nganggur;-1;-1;-1;-1;;;;;;;;
1581294849453480000;carrenclief;tidak usah jauh2 ke pd2 sekarang faktanya russia dikalahkan oleh tentara ukraine dan sekarang tersudut di wilayah timur militar russia ternyata tidak sekuat yg dikira orang sebelumnya ukraine and the world must defeat this evil fascist imperialist russia;-1;-1;-1;-1;;;;;;;;
1583390676112540000;hahuhoheng;izin om conformal fuel tank oke gak untuk dipasang di f16 tni au?;0;-1;0;0;;;;;;;;
1583316198661710000;Cakra_Kostrad;petarung pandawa raih perunggu pada kualifikasi porprov xvi jateng 2023;1;1;1;1;;;;;;;;
1583130346149010000;RezkyZwestynin1;bersamaan dengan momen hut tni ke-73 presiden joko widodo jokowi mengapresiasi sikap prajurit tni terhadap bencana yang terjadi di nusa tenggara barat ntb dan sulawesi tengah sulteng;1;1;1;1;;;;;;;;
1581888334569230000;tomoyel;petugas gabungan tni polri dll mencari korban longsor jalan pengabdian polri;1;1;1;1;;;;;;;;
1582350829167990000;utamanewscom;kodim 1710/mimika gelar tes kesamaptaan casis cata pk dan lintas agama 59 orang calon siswa casis tamtama pk dan lintas agama tni ad gelombang ii ta 2022 tingkat sub pandasus mimika melaksanakan tes kesamaptaan jasmani;0;0;0;0;;;;;;;;
1582782569804100000;detikcom;pangdam iii siliwangi mayjen tni kunto arif wibowo meresmikan jembatan gantung yang menghubungkan dua kampung di sukabumi;1;0;1;1;;;;;;;;
1582259513385640000;KodimTu;orang tua asuh siapkan makan siang untuk satgas tmmd ke-115 kodim 0210/tu hubungan satgas tmmd dan orang tua asuh penuh keakraban sejak kehadiran prajurit tni manunggal membangun desa tmmd ke-115 di wilayah kodim 0210/tu korem 023/ks;0;0;0;0;;;;;;;;
1580951060491170000;iwanbomen;bang fadli  kalo mau serius bersih2 kapolrinya ganti jangan polisi lagi ganti dari jenderal tni dijamin bersih;-1;0;-1;-1;;;;;;;;
1581121556016560000;less_5ugar;bearti tni juga harus diselidiki juga dong;-1;-1;-1;-1;;;;;;;;
1581636277694530000;akarkangkung_;hahahaha jadian doang akhirnya d tikung tni;-1;-1;-1;-1;;;;;;;;
1581640988434370000;alunarra;buat koh es karena telah mendidik gw menjadi tentara militer yang berdedikasi untuk dunia rp ini😭☝️☝️;1;-1;1;1;;;;;;;;
1581255125133590000;OnFucker;solusinya gabung sama tni spt dulu  abri  ;1;1;1;1;;;;;;;;
1581887788173360000;oof_ulfa;personel polri bersama tni bpbd dan relawan terus lakukan evakuasi korban longsor dusun selopuro kabupaten nganjuk jalan pengabdian polri;1;1;1;1;;;;;;;;
1582973618279320000;PerumPerhutani;perhutani ikut gowes bareng ramaikan hut tni ke-77 di jember;0;1;1;1;;;;;;;;
1580354183445700000;chandrinegara;emang bener abis subuh tu gak tidur ketiduran malah mimpi turun wahana diperiksa suhu tubuh krn agak anget lgs diangkut sama tentara korut disuruh isoman kudu ketemu mbah zul nih buat ngeartiin mimpi sapa tau dapet nomer togel;0;1;0;0;;;;;;;;
1580899087129660000;radaraktual;tentara dan islam” pengamat politik tarli nugroho;0;0;0;0;;;;;;;;
1580933201497030000;tthormch;jadi tentara;0;0;0;0;;;;;;;;
1582713144903800000;KafirMukmin;sam ratulangi slamet riyadi adisucipto dll eselam kek sultan hamid jd pengkhianat;-1;-1;-1;-1;;;;;;;;
1582981981398180000;0317Tbk;babinsa selat mendaun koramil 01/balai sertu taufik menghadiri kegiatan musdes di balai desa citra perkasa desa selat mendaun kec selat gelamkodambukitbarisan;0;0;0;0;;;;;;;;
1582230372875540000;gcfloverr;anjir iya juga gw takut dia ketagihan jadi tentara😭;-1;-1;-1;-1;;;;;;;;
1580376713199960000;unrigtascal020;gagal di tni gagal di politik dan mau jadi wapres? papua barat tolak ahy gila;-1;-1;-1;-1;;;;;;;;
1580564255065070000;ivooxid;panglima tni izinkan prajurit bergabung dalam ppi dunia;1;1;1;1;;;;;;;;
1580577886011990000;Nov1R007;sebelumnya dengan menggunakan pesawat kepresidenan indonesia-1 presiden lepas landas dari pangkalan tni au halim perdanakusuma jakarta sekitar pukul 0800 wib;0;1;0;0;;;;;;;;
1579808351973970000;Efran9Efran;tetap solid tni rakyat bersama tni;1;1;1;1;;;;;;;;
1582219483262780000;kodim1806;1koramil 1806-05/tomu melaksanakan kegiatan rekrutmen putra putri daerah untuk menjadi prajurit tni ad koramil 05/tomu melaksanakan kegiatan rekrutmen putra putri daerah untuk menjadi prajurit tni ad kekuatan personel 10 orang dpp srd jitro m;1;1;1;1;;;;;;;;
1581463236754680000;game_gilda;setahun kerja dibidang yg ngelibatin polisi dan tni mereka baik kalau ada maunya dan duitnya doang udah lu ngarepin apasi;-1;0;-1;-1;;;;;;;;
1579857618859750000;Baliportal_news;wagub cok ace sambut kedatangan kri bima suci-945;0;1;1;1;;;;;;;;
1581283698506600000;PentakEli;puluhan peserta mengikuti pertandingan golf di padang golf “the rock” lanud el tari kupang sabtu 15/10/2022 sebelum pertandingan dimulai dilaksanakan foto bersama dan pemukulan bola pertama oleh danlanud el tari marsma tni aldrin p monganstmhummhan;0;1;0;0;;;;;;;;
1580147052658690000;kempalancom;juara bertahan bank jatim tumbang tni al berjaya hari pertama livoli divisi utama 2022;-1;1;0;0;;;;;;;;
